alert_id,timestamp,severity,attack_type,score,username,source_ip,dest_host,event_id,action
ALERT-70743,2024-11-04 11:35:29,CRITIQUE,Password Spraying,1.0,user002,192.168.2.219,SRV002,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-94125,2024-11-27 10:29:48,CRITIQUE,Password Spraying,1.0,user069,192.168.9.51,WS028,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-23018,2024-11-11 10:56:49,CRITIQUE,Password Spraying,1.0,user072,192.168.3.137,WS027,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-14582,2024-11-20 12:30:21,CRITIQUE,Password Spraying,1.0,user035,192.168.10.7,WS011,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-76945,2024-11-11 11:05:03,CRITIQUE,Mouvement Latéral,0.9993,user007,192.168.1.195,WS046,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-47535,2024-11-04 11:11:02,CRITIQUE,Password Spraying,1.0,user028,192.168.2.250,WS042,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-06170,2024-11-25 08:50:19,CRITIQUE,Escalade de Privilèges,1.0,user059,192.168.5.17,WS045,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-87685,2024-11-01 10:10:41,CRITIQUE,Mouvement Latéral,1.0,user003,192.168.2.56,WS026,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-38669,2024-11-15 13:04:03,CRITIQUE,Password Spraying,1.0,user063,192.168.10.109,WS040,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-72027,2024-11-11 08:41:15,CRITIQUE,Password Spraying,1.0,user031,192.168.5.36,WS019,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-80845,2024-11-01 10:40:49,CRITIQUE,Password Spraying,1.0,user012,192.168.7.21,WS002,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-76344,2024-11-08 10:45:54,CRITIQUE,Password Spraying,1.0,user074,192.168.4.234,SRV005,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-98784,2024-11-18 12:29:25,CRITIQUE,Password Spraying,1.0,user007,192.168.2.250,WS009,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-72747,2024-11-06 12:20:08,CRITIQUE,Escalade de Privilèges,1.0,user048,192.168.2.174,WS046,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-65015,2024-11-25 14:03:10,CRITIQUE,Password Spraying,1.0,user052,192.168.9.23,WS030,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-31378,2024-11-25 10:19:20,CRITIQUE,Password Spraying,1.0,user075,192.168.10.109,WS003,4769,Bloquer le compte et isoler la machine immédiatement
ALERT-42558,2024-11-13 12:31:46,CRITIQUE,Password Spraying,1.0,user022,192.168.5.117,WS035,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-75113,2024-11-05 14:50:44,CRITIQUE,Mouvement Latéral,1.0,user043,192.168.5.254,WS049,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-04403,2024-11-11 14:51:05,CRITIQUE,Kerberoasting,1.0,user064,192.168.4.198,SRV002,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-15474,2024-11-04 08:42:48,CRITIQUE,Kerberoasting,1.0,user080,192.168.9.57,WS007,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-70135,2024-11-04 15:36:33,CRITIQUE,Password Spraying,1.0,user073,192.168.8.138,WS030,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-01780,2024-12-02 13:32:28,CRITIQUE,Password Spraying,1.0,user072,192.168.2.12,WS034,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-14570,2024-11-28 15:38:34,CRITIQUE,Password Spraying,1.0,user017,192.168.2.12,WS004,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-14307,2024-11-04 10:25:52,CRITIQUE,Password Spraying,1.0,user078,192.168.2.12,WS009,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-06658,2024-11-11 10:35:12,CRITIQUE,Kerberoasting,1.0,user044,192.168.8.98,WS023,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-22751,2024-11-01 13:44:13,CRITIQUE,Password Spraying,1.0,user067,192.168.9.76,WS012,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-04934,2024-11-27 15:58:55,CRITIQUE,Password Spraying,1.0,user002,192.168.4.246,WS018,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-69531,2024-11-11 10:21:56,CRITIQUE,Password Spraying,1.0,user016,192.168.5.117,WS036,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-57220,2024-12-02 12:26:06,CRITIQUE,Mouvement Latéral,1.0,user012,192.168.6.42,WS002,4776,Bloquer le compte et isoler la machine immédiatement
ALERT-09551,2024-11-29 10:12:21,CRITIQUE,Password Spraying,1.0,user059,192.168.6.216,WS041,4624,Bloquer le compte et isoler la machine immédiatement
ALERT-07889,2024-11-12 08:30:29,CRITIQUE,Mouvement Latéral,1.0,user004,192.168.2.56,WS031,4768,Bloquer le compte et isoler la machine immédiatement
ALERT-75724,2024-11-25 12:30:07,CRITIQUE,Password Spraying,1.0,user028,192.168.7.21,WS030,4624,Bloquer le compte et isoler la machine immédiatement
